parameter_id,MGP_CSD_066_001
pvalue,0.9661684
mouse_life_stage,Early adult
gene_accession_id,MGI:2444114
analysis_id,mk5r1906y1dqn6f
gene_symbol,Zcchc2
parameter_name,Snout morphology
mouse_strain,C57BL
