gene_symbol,Galk2
parameter_id,IMPC_XRY_027_001
mouse_life_stage,Early adult
analysis_id,d1eij738r09636l
gene_accession_id,MGI:1917226
parameter_name,Joints
pvalue,0.9232454
mouse_strain,C57BL
