analysis_id,0g52b003625e055
mouse_life_stage,Early adult
gene_accession_id,MGI:96757
pvalue,0.5322445
parameter_id,JAX_OFD_015_001
mouse_strain,C57BL
parameter_name,Center resting time
gene_symbol,Lcn2
