analysis_id,908yv9z497r19a9
parameter_name,Total CD4+ T cells - % of ab T cells
parameter_id,MGP_IMM_004_001
gene_symbol,Kcng1
gene_accession_id,MGI:3616086
pvalue,0.08681758
mouse_life_stage,Early adult
mouse_strain,C57BL
