gene_symbol,Serinc3
pvalue,0.959044
parameter_id,JAXLA_DXA_003_001
parameter_name,Lean mass
mouse_life_stage,Early adult
mouse_strain,C57BL
gene_accession_id,MGI:1349457
analysis_id,71kkoug48hxxo9b
