parameter_name,BMC/Body weight
parameter_id,HRWLLA_DXA_007_001
mouse_life_stage,Early adult
gene_accession_id,MGI:2444113
pvalue,0.8116744
mouse_strain,C57BL
analysis_id,9043316226862qt
gene_symbol,Nemp2
