analysis_id,g4okx1w23386008
mouse_strain,C57BL
parameter_name,Heart weight
mouse_life_stage,Early adult
pvalue,0.7795326
gene_accession_id,MGI:1919935
gene_symbol,DNAJC6
parameter_id,IMPC_HWT_008_001
