analysis_id,m7w0e058fg3l911
parameter_id,IMPC_ECH_008_001
gene_accession_id,MGI:1336200
gene_symbol,Hpca
parameter_name,LVIDd
pvalue,0.6342226
mouse_life_stage,Late adult
mouse_strain,C57BL
