parameter_name,Global prepulse inhibition
gene_symbol,Kcng1
mouse_strain,C57BL
parameter_id,ESLIM_011_001_705
mouse_life_stage,Early adult
pvalue,0.9254138
gene_accession_id,MGI:3616086
analysis_id,43184q13qv0o047
