parameter_name,Eyelid morphology
gene_accession_id,MGI:3588214
analysis_id,52w4t2vtlwoq5cv
pvalue,0.4619516
gene_symbol,Rufy4
mouse_strain,C57BL
parameter_id,IMPC_EYE_004_001
mouse_life_stage,Early adult
