parameter_name,Glucose
gene_symbol,Gpbp1l1
mouse_life_stage,Early adult
parameter_id,IMPC_CBC_018_001
gene_accession_id,MGI:1924360
analysis_id,wggsk7hr3fvd3f5
pvalue,0.3190296
mouse_strain,C57BL
