parameter_name,Startle response
mouse_strain,129SV
gene_accession_id,MGI:104848
parameter_id,MGP_CSD_008_001
pvalue,0.5034794
mouse_life_stage,Early adult
gene_symbol,Inpp1
analysis_id,lxphsr82jk3r4bt
