parameter_name,Tibia length
gene_symbol,Car13
parameter_id,TCPLA_XRY_033_001
gene_accession_id,MGI:1931322
mouse_life_stage,Early adult
pvalue,0.4217646
mouse_strain,C57BL
analysis_id,a4820xpuc153b27
