gene_symbol,Amigo1
mouse_life_stage,Early adult
gene_accession_id,MGI:2653612
parameter_name,Total ab T cells - % of CD45+
mouse_strain,C57BL
analysis_id,61z6z59l39z8797
parameter_id,MGP_MLN_063_001
pvalue,0.4284952
