analysis_id,76mvx5suel41218
gene_accession_id,MGI:1918025
pvalue,0.4076839
mouse_life_stage,Early adult
mouse_strain,129SV
gene_symbol,Zmynd8
parameter_name,Coat - color - abdomen
parameter_id,IMPC_CSD_007_001
