analysis_id,5w102zn02zzof71
gene_accession_id,MGI:104848
gene_symbol,Inpp1
pvalue,0.4741962
parameter_id,ESLIM_001_001_117
mouse_strain,C57BL
mouse_life_stage,Early adult
parameter_name,eye size
