parameter_name,Gait
parameter_id,IMPC_CSD_033_001
gene_symbol,Kdm4c
mouse_strain,C51BL
mouse_life_stage,Early adult
pvalue,0.5470231
analysis_id,l5s4w68ii37u323
gene_accession_id,MGI:1924054
