analysis_id,hu28cl494nl8854
gene_symbol,Mapkap1
mouse_strain,C57BL
mouse_life_stage,E15.5
parameter_id,MGP_MLN_063_001
parameter_name,Total ab T cells - % of CD45+
gene_accession_id,MGI:2444554
pvalue,0.1564492
