analysis_id,uc35m02ku4r7146
mouse_life_stage,Early adult
pvalue,0.9760745
mouse_strain,C57BL
gene_symbol,Gja10
parameter_name,Total cholesterol
gene_accession_id,MGI:1339969
parameter_id,IMPC_CBC_015_001
