analysis_id,tai28z66i28ws4c
gene_symbol,Stk35
mouse_strain,C57BL
gene_accession_id,MGI:1914583
parameter_name,Resting CD4+ T helper cells - % of CD45+
parameter_id,MGP_MLN_067_001
pvalue,0.09894782
mouse_life_stage,Early adult
