parameter_name,Alanine aminotransferase
mouse_life_stage,E9.5
gene_accession_id,MGI:95835
gene_symbol,Hspa5
mouse_strain,C57BL
parameter_id,IMPC_CBC_013_001
analysis_id,h1qlm8911579u36
pvalue,0.3257761
