parameter_name,Lumbar processes
analysis_id,w0az9l6io8z20vy
gene_symbol,Gja10
parameter_id,IMPC_XRY_065_001
gene_accession_id,MGI:1339969
pvalue,0.7462792
mouse_strain,C57BL
mouse_life_stage,Early adult
