gene_symbol,Dnajc5b
gene_accession_id,MGI:1913576
parameter_name,Periphery average speed
mouse_strain,C57BL
pvalue,0.261992
mouse_life_stage,Early adult
analysis_id,j80m62420o14211
parameter_id,JAX_OFD_013_001
