analysis_id,6d5e1dw8kz7c871
gene_symbol,Tbl1xr1
gene_accession_id,MGI:2441730
mouse_strain,C57BL
mouse_life_stage,Late adult
parameter_id,IMPC_HEM_039_001
pvalue,0.855487
parameter_name,Large Unstained Cell (LUC) count
