parameter_id,IMPC_GEO_011_001
pvalue,0.6437154
gene_accession_id,MGI:1913105
gene_symbol,Slc28a2
analysis_id,14479i64299c0b9
mouse_life_stage,Early adult
mouse_strain,C57BL
parameter_name,Blood Vessel Morphology
