gene_symbol,Exd1
parameter_id,IMPC_CSD_008_001
mouse_life_stage,Early adult
pvalue,0.2285435
gene_accession_id,MGI:3045306
parameter_name,Coat - color pattern - back
analysis_id,72689u05wf5982c
mouse_strain,C57BL
