analysis_id,hn157imm3s3cjn8
parameter_name,Total NK cells - % of CD45+
mouse_life_stage,Early adult
gene_symbol,Dnajc8
gene_accession_id,MGI:1915848
parameter_id,MGP_MLN_031_001
pvalue,0.1953121
mouse_strain,C57BL
