analysis_id,2yx4s658q96h671
gene_symbol,Ufc1
parameter_id,ESLIM_011_001_703
gene_accession_id,MGI:1913405
parameter_name,Prepulse inhibition - PP3
pvalue,0.1688027
mouse_strain,C57BL
mouse_life_stage,Early adult
