analysis_id,s41e57056o7f187
parameter_id,IMPC_HEM_031_001
parameter_name,Lymphocyte differential count
gene_accession_id,MGI:3588214
pvalue,0.6685039
gene_symbol,Rufy4
mouse_strain,C57BL
mouse_life_stage,Early adult
