analysis_id,h73yvefs986989w
gene_accession_id,MGI:3045306
parameter_name,Resting NK cells - % of CD45+
gene_symbol,Exd1
mouse_strain,C57BL
mouse_life_stage,Early adult
parameter_id,MGP_IMM_100_001
pvalue,0.8469821
