mouse_strain,B6J
parameter_name,BMC/Body weight
analysis_id,vzwn126h589ki76
gene_symbol,Nr0b2
pvalue,0.1242337
mouse_life_stage,Early adult
parameter_id,IMPC_DXA_007_001
gene_accession_id,MGI:1346344
