gene_accession_id,MGI:2446186
gene_symbol,Lpgat1
mouse_strain,C57BL
mouse_life_stage,E18.5
parameter_id,MGP_MLN_033_001
pvalue,0.456314
parameter_name,Resting NK cells - % of NK cells
analysis_id,4f246mt4v19g7bt
