parameter_name,Haemoglobin
mouse_life_stage,Late adult
gene_symbol,Slc30a4
pvalue,0.5365444
mouse_strain,C57BL
analysis_id,0ts82p5q82641t8
gene_accession_id,MGI:1345282
parameter_id,ESLIM_016_001_003
