analysis_id,8il2t9a7to12s1g
gene_accession_id,MGI:1921442
parameter_id,IMPC_CBC_003_001
mouse_life_stage,Early adult
mouse_strain,C57BL
parameter_name,Chloride
gene_symbol,Arpc5l
pvalue,0.7978004
