analysis_id,6o8mpmb5p8ex43b
mouse_strain,C57BL
gene_symbol,Cmpk1
mouse_life_stage,Early adult
pvalue,0.7003462
parameter_name,Limb grasping
gene_accession_id,MGI:1913838
parameter_id,ESLIM_008_001_017
