analysis_id,6yqs08d88qvy7h9
parameter_name,CD8+ KLRG1+ alpha beta T cell number
gene_accession_id,MGI:104848
mouse_life_stage,Early adult
pvalue,0.4958415
mouse_strain,C57BL
parameter_id,MGP_PBI_033_001
gene_symbol,Inpp1
