mouse_strain,B6J
parameter_name,Time mobile dark side
parameter_id,JAX_LDT_005_001
analysis_id,5lu8f3l40059959
pvalue,0.8173871
gene_accession_id,MGI:1346344
gene_symbol,Nr0b2
mouse_life_stage,Early adult
