analysis_id,r75e91850t79ndt
gene_accession_id,MGI:2685053
parameter_name,Head coat/hair presence
pvalue,0.678322
mouse_life_stage,Early adult
mouse_strain,C57BL
gene_symbol,Ntmt2
parameter_id,MGP_CSD_015_001
