parameter_name,Cholesterol ratio
analysis_id,5781lwdi4aa2668
mouse_strain,129SV
parameter_id,IMPC_CBC_058_001
pvalue,0.4976802
gene_symbol,Bpifa3
mouse_life_stage,Early adult
gene_accession_id,MGI:1920638
