analysis_id,992d9zn15e628p2
mouse_life_stage,Early adult
pvalue,0.8257415
mouse_strain,C57BL
gene_symbol,Pld1
gene_accession_id,MGI:109585
parameter_id,IMPC_EYE_056_001
parameter_name,Mean left eye lens density
