analysis_id,zd9cv957186vuo7
mouse_life_stage,Early adult
pvalue,0.1215867
mouse_strain,C57BL
gene_accession_id,MGI:1338032
parameter_id,JAXLA_CSD_077_001
parameter_name,Contact righting
gene_symbol,Sema6c
