parameter_name,Heart looping
analysis_id,kr10898w0hh1b98
mouse_strain,C57BL
parameter_id,IMPC_GEL_057_001
gene_symbol,Bmi1
pvalue,0.702859
mouse_life_stage,Early adult
gene_accession_id,MGI:88174
