analysis_id,s6cld8bmx428327
pvalue,0.8281231
mouse_life_stage,Early adult
parameter_id,MGP_IMM_020_001
gene_accession_id,MGI:2670995
mouse_strain,C57BL
parameter_name,Effector gd T cells - % of gd T cells
gene_symbol,Trp53i11
