analysis_id,4j30w89w1z1c0bq
pvalue,0.8621057
gene_accession_id,MGI:97838
mouse_life_stage,E9.5
parameter_id,MGP_IMM_129_001
parameter_name,CD11b-high cDC - % of CD45+
gene_symbol,Eprs1
mouse_strain,C57BL
