analysis_id,6433109gw380ut4
parameter_name,Effector CD8+ T cells - % of CD45+
pvalue,0.260515
gene_symbol,Cntfr
mouse_strain,129SV
gene_accession_id,MGI:99605
mouse_life_stage,Early adult
parameter_id,MGP_MLN_074_001
