gene_symbol,F2
parameter_id,M-G-P_007_001_011
mouse_life_stage,Early adult
pvalue,0.05961398
mouse_strain,C57BL
parameter_name,center - resting time
analysis_id,38431iuvs0nr19i
gene_accession_id,MGI:88380
