parameter_name,Fat mass
gene_accession_id,MGI:2385884
pvalue,0.882212
mouse_life_stage,Early adult
analysis_id,o293wgeye46ya37
parameter_id,IMPC_DXA_002_001
gene_symbol,Ddx27
mouse_strain,C57BL
