analysis_id,15e95r6p2h8f1yf
mouse_life_stage,E12.5
gene_symbol,Eprs1
mouse_strain,C57BL
pvalue,0.6232063
gene_accession_id,MGI:97838
parameter_id,HRWLLA_CBC_014_001
parameter_name,Alkaline phosphatase
