analysis_id,pw5b06ts0pczn7l
mouse_strain,C57BL
gene_symbol,Npbwr1
pvalue,0.9033385
parameter_name,Whole arena resting time
mouse_life_stage,Early adult
gene_accession_id,MGI:891989
parameter_id,HRWLLA_OFD_007_001
