analysis_id,xxdn104nre4z397
mouse_life_stage,Early adult
gene_accession_id,MGI:1888742
parameter_name,30kHz-evoked ABR Threshold
mouse_strain,C57BL
parameter_id,IMPC_ABR_012_001
gene_symbol,Extl1
pvalue,0.8166363
