parameter_name,BMC/Body weight
gene_accession_id,MGI:2446274
analysis_id,460577p7ql45vh1
mouse_strain,C57BL
gene_symbol,Frmpd1
parameter_id,HRWLLA_DXA_007_001
mouse_life_stage,Early adult
pvalue,0.1377865
