analysis_id,rak2w1j58lac048
mouse_life_stage,Early adult
gene_accession_id,MGI:104848
parameter_id,IMPC_GEP_076_001
pvalue,0.4067088
gene_symbol,Inpp1
mouse_strain,C57BL
parameter_name,Cleft palate
