parameter_name,Limb morphology
pvalue,0.6905822
mouse_life_stage,Early adult
analysis_id,5666ne69ve05x47
gene_symbol,Col6a3
parameter_id,IMPC_GEP_084_001
gene_accession_id,MGI:88461
mouse_strain,C57BL
