parameter_id,GMC_906_001_005
pvalue,0.5752297
parameter_name,Potassium
analysis_id,t452wnw1n85klc5
gene_accession_id,MGI:2653612
gene_symbol,Amigo1
mouse_life_stage,Early adult
mouse_strain,C57BL
