analysis_id,4z693j8y3w0fh1j
gene_accession_id,MGI:107414
parameter_id,IMPC_IMM_064_001
pvalue,0.7105504
mouse_strain,C57BL
parameter_name,B1B Cells
gene_symbol,Tnfsf10
mouse_life_stage,Early adult
