gene_symbol,Tatdn3
analysis_id,1243e40bo11t3ld
mouse_life_stage,Early adult
pvalue,0.05142806
parameter_id,IMPC_GEL_028_001
gene_accession_id,MGI:1916222
parameter_name,Forebrain
mouse_strain,C57BL
