analysis_id,m7093hwx6ptbdy3
pvalue,0.3697003
mouse_life_stage,Late adult
gene_symbol,Frmpd1
gene_accession_id,MGI:2446274
mouse_strain,C57BL
parameter_id,MGP_PBI_030_001
parameter_name,CD8+ CD44+ CD62L- alpha beta effector T cell number
