analysis_id,31jrw3955t6w1vo
mouse_strain,129SV
mouse_life_stage,Early adult
parameter_name,Corneal vascularization
parameter_id,IMPC_EYE_009_001
pvalue,0.6609715
gene_accession_id,MGI:1923959
gene_symbol,Arpc2
