analysis_id,z7733a36p41e9cl
gene_accession_id,MGI:108072
parameter_name,Light side time spent
mouse_strain,C57BL
mouse_life_stage,Early adult
pvalue,0.8479908
gene_symbol,Traf6
parameter_id,JAX_LDT_002_001
