analysis_id,uje26qu1erj8a53
mouse_strain,C57BL
parameter_name,Right kidney weight
gene_symbol,Eprs1
gene_accession_id,MGI:97838
mouse_life_stage,E12.5
pvalue,0.4532103
parameter_id,IMPC_OWT_004_001
