analysis_id,0c7e1se3d5bn3ti
parameter_name,CD11b-low cDC - % of CD45+
gene_symbol,Arpc2
mouse_life_stage,Early adult
pvalue,0.2643133
parameter_id,MGP_IMM_130_001
mouse_strain,129SV
gene_accession_id,MGI:1923959
