gene_symbol,Inpp1
analysis_id,u83275ye70rrdi2
pvalue,0.6507407
parameter_id,MGP_MLN_014_001
mouse_life_stage,Early adult
gene_accession_id,MGI:104848
mouse_strain,129SV
parameter_name,Resting CD8+ T cells - % of CD8+
