parameter_name,Caudal processes
gene_accession_id,MGI:1923029
analysis_id,4r5e89zyqgc2m35
mouse_strain,C57BL
pvalue,0.6619772
gene_symbol,Dnaaf9
mouse_life_stage,Early adult
parameter_id,IMPC_XRY_067_001
