analysis_id,15w4br562f9si65
mouse_life_stage,Early adult
parameter_name,Coat - color - abdomen
pvalue,0.08508514
mouse_strain,C57BL
gene_accession_id,MGI:1929242
gene_symbol,Ivd
parameter_id,IMPC_CSD_007_001
